2025-06-18 10:13:01,353 - INFO - Creado estándar para producto 10210200962, proceso: 2320, máquina 1601
2025-06-18 10:13:01,355 - INFO - Creado estándar para producto 10210200962, proceso: 3060, máquina 2003
2025-06-18 10:13:01,358 - INFO - Creado estándar para producto 10210200962, proceso: 6090, máquina 6010
2025-06-18 10:13:01,361 - INFO - Creado estándar para producto 10210201128, proceso: 1020, máquina 1002
2025-06-18 10:13:01,364 - INFO - Creado estándar para producto 10210201128, proceso: 2150, máquina 1207
2025-06-18 10:13:01,367 - INFO - Creado estándar para producto 10210201128, proceso: 2395, máquina 1421
2025-06-18 10:13:01,369 - INFO - Creado estándar para producto 10210201128, proceso: 2320, máquina 1601
2025-06-18 10:13:01,372 - INFO - Creado estándar para producto 10210201128, proceso: 3060, máquina 2003
2025-06-18 10:13:01,374 - INFO - Creado estándar para producto 10210201284, proceso: 1020, máquina 1002
2025-06-18 10:13:01,377 - INFO - Creado estándar para producto 10210201284, proceso: 2150, máquina 1207
2025-06-18 10:13:01,380 - INFO - Creado estándar para producto 10210201284, proceso: 2395, máquina 1421
2025-06-18 10:13:01,383 - INFO - Creado estándar para producto 10210201284, proceso: 2320, máquina 1601
2025-06-18 10:13:01,386 - INFO - Creado estándar para producto 10210201284, proceso: 3060, máquina 2003
2025-06-18 10:13:01,388 - INFO - Creado estándar para producto 10210201365, proceso: 1020, máquina 1002
2025-06-18 10:13:01,390 - INFO - Creado estándar para producto 10210201365, proceso: 2150, máquina 1207
2025-06-18 10:13:01,393 - INFO - Creado estándar para producto 10210201365, proceso: 2395, máquina 1421
2025-06-18 10:13:01,396 - INFO - Creado estándar para producto 10210201365, proceso: 2320, máquina 1601
2025-06-18 10:13:01,399 - INFO - Creado estándar para producto 10210201365, proceso: 3060, máquina 2003
2025-06-18 10:13:01,402 - INFO - Creado estándar para producto 10210201365, proceso: 6090, máquina 6010
2025-06-18 10:13:01,404 - INFO - Creado estándar para producto 10210201446, proceso: 1020, máquina 1002
2025-06-18 10:13:01,406 - INFO - Creado estándar para producto 10210201446, proceso: 2150, máquina 1207
2025-06-18 10:13:01,409 - INFO - Creado estándar para producto 10210201446, proceso: 2395, máquina 1421
2025-06-18 10:13:01,412 - INFO - Creado estándar para producto 10210201446, proceso: 2320, máquina 1601
2025-06-18 10:13:01,415 - INFO - Creado estándar para producto 10210201446, proceso: 3060, máquina 2003
2025-06-18 10:13:01,418 - INFO - Creado estándar para producto 10210201446, proceso: 6090, máquina 6010
2025-06-18 10:13:01,421 - INFO - Creado estándar para producto 10210201926, proceso: 1020, máquina 1001
2025-06-18 10:13:01,423 - INFO - Creado estándar para producto 10210201926, proceso: 2150, máquina 1207
2025-06-18 10:13:01,426 - INFO - Creado estándar para producto 10210201926, proceso: 2395, máquina 1421
2025-06-18 10:13:01,429 - INFO - Creado estándar para producto 10210201926, proceso: 2320, máquina 1601
2025-06-18 10:13:01,432 - INFO - Creado estándar para producto 10210201926, proceso: 3060, máquina 2003
2025-06-18 10:13:01,435 - INFO - Creado estándar para producto 10210202086, proceso: 1020, máquina 1002
2025-06-18 10:13:01,437 - INFO - Creado estándar para producto 10210202086, proceso: 2150, máquina 1207
2025-06-18 10:13:01,439 - INFO - Creado estándar para producto 10210202086, proceso: 2395, máquina 1431
2025-06-18 10:13:01,443 - INFO - Creado estándar para producto 10210202086, proceso: 2320, máquina 1601
2025-06-18 10:13:01,446 - INFO - Creado estándar para producto 10210202086, proceso: 3060, máquina 2003
2025-06-18 10:13:01,449 - INFO - Creado estándar para producto 10210202167, proceso: 1020, máquina 1002
2025-06-18 10:13:01,451 - INFO - Creado estándar para producto 10210202167, proceso: 2150, máquina 1207
2025-06-18 10:13:01,454 - INFO - Creado estándar para producto 10210202167, proceso: 2395, máquina 1421
2025-06-18 10:13:01,456 - INFO - Creado estándar para producto 10210202167, proceso: 2320, máquina 1601
2025-06-18 10:13:01,460 - INFO - Creado estándar para producto 10210202167, proceso: 3060, máquina 2003
2025-06-18 10:13:01,467 - INFO - Creado estándar para producto 10210202167, proceso: 6090, máquina 6010
2025-06-18 10:13:01,472 - INFO - Creado estándar para producto 10210202329, proceso: 1020, máquina 1002
2025-06-18 10:13:01,477 - INFO - Creado estándar para producto 10210202329, proceso: 2150, máquina 1207
2025-06-18 10:13:01,483 - INFO - Creado estándar para producto 10210202329, proceso: 2395, máquina 1421
2025-06-18 10:13:01,487 - INFO - Creado estándar para producto 10210202329, proceso: 2320, máquina 1601
2025-06-18 10:13:01,491 - INFO - Creado estándar para producto 10210202329, proceso: 3060, máquina 2003
2025-06-18 10:13:01,498 - INFO - Creado estándar para producto 10210202329, proceso: 6090, máquina 6010
